3A to S2C, Edge weight = 1, Forman Ricci Curvature = 0.29289
S2C to S1E, Edge weight = 2, Forman Ricci Curvature = -0.23071
S2C to R1K, Edge weight = 1, Forman Ricci Curvature = 0.50000
S1E to TC, Edge weight = 3, Forman Ricci Curvature = -2.31552
R1K to R2N, Edge weight = 4, Forman Ricci Curvature = -5.04913
TC to R1K, Edge weight = 4, Forman Ricci Curvature = -0.97120
TC to R1M, Edge weight = 3, Forman Ricci Curvature = -0.93185
R2N to R3R, Edge weight = 1, Forman Ricci Curvature = 1.50000
R2N to R3S, Edge weight = 5, Forman Ricci Curvature = -0.69917
R3S to R3T, Edge weight = 2, Forman Ricci Curvature = 1.36754
S3B to S2D, Edge weight = 3, Forman Ricci Curvature = 0.77526
S2D to S1E, Edge weight = 2, Forman Ricci Curvature = 0.36701
S3G to S2I, Edge weight = 1, Forman Ricci Curvature = 0.47544
S2I to S1L, Edge weight = 4, Forman Ricci Curvature = -2.23071
S2I to R1M, Edge weight = 5, Forman Ricci Curvature = -3.39835
S2I to R1K, Edge weight = 3, Forman Ricci Curvature = -1.82282
S3H to S2I, Edge weight = 2, Forman Ricci Curvature = -0.15606
S1L to TC, Edge weight = 6, Forman Ricci Curvature = -1.86370
R1M to R2O, Edge weight = 2, Forman Ricci Curvature = -0.15606
R2O to R3T, Edge weight = 4, Forman Ricci Curvature = 0.58579
